gene_name,egg_seed_ortholog,egg_evalue,egg_score,eggNOG_OGs,egg_max_annot_lvl,egg_COG_category,egg_Description,egg_Preferred_name,egg_GOs,egg_EC,egg_KEGG_ko,egg_KEGG_Pathway,egg_KEGG_Module,egg_KEGG_Reaction,egg_KEGG_rclass,egg_BRITE,egg_KEGG_TC,egg_CAZy,egg_BiGG_Reaction,egg_PFAMs,KO_pass,KO,KO_thrshld,KO_score,KO_E-value,KO_definition,deepsig_feature,deepsig_start,deepsig_end,deepsig_sp_score,deepsig_sp_evidence,Length,species_name,is_tick,KO_high_score
Amblyomma-sculptum_GEEX01000049.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,0.99,evidence=ECO:0000256,218,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000090.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K25263;K02735,429.47;138.20,12.5;12.5,0.033;0.043,(2S)-3-sulfopropanediol dehydratase activating enzyme;20S proteasome subunit beta 3 [EC:3.4.25.1],Signal peptide,1,22,1.0,evidence=ECO:0000256,141,Amblyomma-sculptum,yes,12.5
Amblyomma-sculptum_GEEX01000106.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,24,1.0,evidence=ECO:0000256,257,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000119.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,16,1.0,evidence=ECO:0000256,153,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000150.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K21392;K22188;K19680;K04243;K12065,1269.23;82.57;104.47;587.50;126.10,17.6;15.7;15.3;15.2;15.0,0.00045;0.0033;0.0026;0.0047;0.0057,adipocyte enhancer-binding protein 1;chloride channel CLIC-like protein 1;TRAF3-interacting protein 1;prosaposin receptor;conjugal transfer pilus assembly protein TraB,Signal peptide,1,23,1.0,evidence=ECO:0000256,288,Amblyomma-sculptum,yes,17.6
Amblyomma-sculptum_GEEX01000223.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K06817,169.07,11.1,0.1,podocalyxin-like,Signal peptide,1,20,1.0,evidence=ECO:0000256,106,Amblyomma-sculptum,yes,11.1
Amblyomma-sculptum_GEEX01000256.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K03668;K05428;K14955;K11906;K16595,43.47;115.43;250.33;36.13;173.87,15.1;13.0;12.9;11.6;10.9,0.0088;0.034;0.035;0.088;0.17,heat shock protein HslJ;interleukin 5;lipoprotein LprA;type VI secretion system protein VasD;C-C motif chemokine 13,Signal peptide,1,19,1.0,evidence=ECO:0000256,111,Amblyomma-sculptum,yes,15.1
Amblyomma-sculptum_GEEX01000292.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K13285;K25540,99.67;254.37,17.4;12.6,0.00097;0.041,invasin B;gastrokine-3,Signal peptide,1,18,0.99,evidence=ECO:0000256,184,Amblyomma-sculptum,yes,17.4
Amblyomma-sculptum_GEEX01000297.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,1.0,evidence=ECO:0000256,105,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000359.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,18,0.99,evidence=ECO:0000256,116,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000362.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K22719;K21874;K16552;K06142;K05802,161.53;333.43;327.43;39.97;469.67,18.2;17.8;17.4;16.4;15.9,0.00055;0.00092;0.0011;0.0037;0.0024,murein hydrolase activator;SUN domain-containing protein 3;polysaccharide biosynthesis/export protein ExoF;outer membrane protein;potassium-dependent mechanosensitive channel,Signal peptide,1,32,0.95,evidence=ECO:0000256,154,Amblyomma-sculptum,yes,18.2
Amblyomma-sculptum_GEEX01000392.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K26038,773.70,11.4,0.053,amaranthin synthetase [EC:2.4.1.-],Signal peptide,1,20,0.9,evidence=ECO:0000256,181,Amblyomma-sculptum,yes,11.4
Amblyomma-sculptum_GEEX01000403.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,0.89,evidence=ECO:0000256,220,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000467.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K06546;K26284;K02451;K12284;K03112,43.00;54.73;53.47;111.43;153.17,15.4;11.0;7.6;4.5;3.0,0.0072;0.073;1.9;13;38,CD164 antigen;S-layer glycoprotein;general secretion pathway protein B;MSHA biogenesis protein MshN;DamX protein,Signal peptide,1,24,0.97,evidence=ECO:0000256,430,Amblyomma-sculptum,yes,15.4
Amblyomma-sculptum_GEEX01000532.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K10809;K24354;K06505;K08136;K23577,1194.10;120.77;107.93;148.17;288.37,44.2;24.2;21.6;16.3;14.6,2.1e-12;8.8e-06;7.2e-05;0.003;0.0095,thyroglobulin;SPARC-related modular calcium-binding protein;CD74 antigen;testican;insulin-like growth factor-binding protein 5,Signal peptide,1,20,1.0,evidence=ECO:0000256,216,Amblyomma-sculptum,yes,44.2
Amblyomma-sculptum_GEEX01000556.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,23,0.99,evidence=ECO:0000256,159,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000592.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,24,0.99,evidence=ECO:0000256,222,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000660.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,23,1.0,evidence=ECO:0000256,240,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000770.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K24240,None,12.1,0.059,killer cell lectin-like receptor subfamily A member 9,Signal peptide,1,25,0.99,evidence=ECO:0000256,573,Amblyomma-sculptum,yes,12.1
Amblyomma-sculptum_GEEX01000816.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,28,0.99,evidence=ECO:0000256,225,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000866.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K24317,471.30,9.9,0.087,germinal-center associated nuclear protein [EC:2.3.1.48],Signal peptide,1,19,0.99,evidence=ECO:0000256,177,Amblyomma-sculptum,yes,9.9
Amblyomma-sculptum_GEEX01000899.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K13023;K17256;K24610;K24492;K07523,398.70;378.80;1363.53;420.00;356.50,83.9;78.7;72.4;71.1;70.7,4.6e-24;1.6e-22;1.2e-20;3.1e-20;4.3e-20,carboxypeptidase N regulatory subunit;insulin-like growth factor-binding protein complex acid labile subunit;leucine-rich repeats and immunoglobulin-like domains protein 1/3;leucine-rich repeat neuronal protein 1/2/3;netrin-G1 ligand,Signal peptide,1,22,1.0,evidence=ECO:0000256,335,Amblyomma-sculptum,yes,83.9
Amblyomma-sculptum_GEEX01000902.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,0.99,evidence=ECO:0000256,110,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000913.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,1.0,evidence=ECO:0000256,105,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000923.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,1.0,evidence=ECO:0000256,99,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01000924.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K01395;K01316;K06824;K08606;K24831,900.90;676.23;612.90;775.20;2165.20,29.5;24.7;20.7;20.6;20.3,1.3e-07;3e-06;7e-05;6.8e-05;2.4e-05,meprin A [EC:3.4.24.18];enterokinase [EC:3.4.21.9];nephronectin;meprin B [EC:3.4.24.63];zonadhesin,Signal peptide,1,19,1.0,evidence=ECO:0000256,266,Amblyomma-sculptum,yes,29.5
Amblyomma-sculptum_GEEX01000975.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,0.99,evidence=ECO:0000256,217,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001130.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,20,1.0,evidence=ECO:0000256,116,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001134.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,0.99,evidence=ECO:0000256,229,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001184.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan,K25036;K08784;K08786;K06827,110.97;745.17;728.17;483.00,20.8;14.9;14.5;13.1,0.00019;0.0066;0.0065;0.025,endothelial cell-specific molecule 1;HtrA serine peptidase 1 [EC:3.4.21.-];HtrA serine peptidase 4 [EC:3.4.21.-];connective tissue growth factor (insulin-like growth factor-binding protein 8),Signal peptide,1,17,1.0,evidence=ECO:0000256,105,Amblyomma-sculptum,yes,20.8
Amblyomma-sculptum_GEEX01001208.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K24331;K07156;K06825;K06501;K17307,840.53;58.83;1998.27;266.77;460.77,15.7;14.9;13.2;11.8;10.2,0.0026;0.011;0.0047;0.067;0.085,platelet endothelial aggregation receptor 1;copper resistance protein C;fibrillin 1;CD68 antigen;fibulin 1/2,Signal peptide,1,19,1.0,evidence=ECO:0000256,600,Amblyomma-sculptum,yes,15.7
Amblyomma-sculptum_GEEX01001252.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan,K06824;K04705;K15561,612.90;294.93;179.37,3.9;1.9;0.4,8.2;38;1.3e+02,nephronectin;signal transducing adaptor molecule;nuclear polyadenylated RNA-binding protein 3,Signal peptide,1,23,1.0,evidence=ECO:0000256,544,Amblyomma-sculptum,yes,3.9
Amblyomma-sculptum_GEEX01001284.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,20,0.99,evidence=ECO:0000256,177,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001375.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K20245;K20033;K20020;K06766;K05115,494.30;761.63;1058.37;1619.77;971.03,51.1;40.5;30.9;24.6;19.0,3.6e-14;5.9e-11;4.6e-08;3.3e-06;0.00019,brother of ihog;cell adhesion molecule-related/down-regulated by oncogenes;brother of CDO;neogenin;AXL receptor tyrosine kinase [EC:2.7.10.1],Signal peptide,1,21,0.97,evidence=ECO:0000256,172,Amblyomma-sculptum,yes,51.1
Amblyomma-sculptum_GEEX01001479.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan,K17293;K09908;K12209;K10196,213.77;42.60;133.43;446.90,14.5;11.8;11.3;10.2,0.0099;0.11;0.075;0.12,tetraspanin-3;uncharacterized protein;intracellular multiplication protein IcmE;glucose/arabinose transport system substrate-binding protein,Signal peptide,1,24,0.82,evidence=ECO:0000256,208,Amblyomma-sculptum,yes,14.5
Amblyomma-sculptum_GEEX01001493.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,16,0.98,evidence=ECO:0000256,199,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001533.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K17256;K13023;K04309;K06248;K25431,378.80;398.70;1107.37;430.43;270.70,47.0;36.3;34.1;33.8;31.2,6.3e-13;1.2e-09;4.3e-09;7.2e-09;4.2e-08,insulin-like growth factor-binding protein complex acid labile subunit;carboxypeptidase N regulatory subunit;leucine-rich repeat-containing G protein-coupled receptor 4;chondroadherin;leucine-rich alpha-2-glycoprotein,Signal peptide,1,24,1.0,evidence=ECO:0000256,171,Amblyomma-sculptum,yes,47.0
Amblyomma-sculptum_GEEX01001553.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K14261;K14556;K25722;K13052;K02411,523.53;322.03;291.33;54.07;80.43,14.6;14.2;13.3;13.3;13.0,0.0056;0.0055;0.02;0.041;0.049,alanine-synthesizing transaminase [EC:2.6.1.-];U3 small nucleolar RNA-associated protein 12;proteoglycan 3;cell division protein DivIC;flagellar assembly protein FliH,Signal peptide,1,20,0.81,evidence=ECO:0000256,106,Amblyomma-sculptum,yes,14.6
Amblyomma-sculptum_GEEX01001572.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,18,0.9,evidence=ECO:0000256,177,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001630.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,23,0.98,evidence=ECO:0000256,216,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001640.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,20,0.99,evidence=ECO:0000256,711,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01001679.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K19809;K00869,411.13;150.83,11.2;11.0,0.088;0.084,2-methyl-1-pyrroline reductase [EC:1.5.1.48];mevalonate kinase [EC:2.7.1.36],Signal peptide,1,21,0.83,evidence=ECO:0000256,171,Amblyomma-sculptum,yes,11.2
Amblyomma-sculptum_GEEX01001741.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K05408,156.10,8.8,0.88,C-C motif chemokine 3,Signal peptide,1,29,1.0,evidence=ECO:0000256,133,Amblyomma-sculptum,yes,8.8
