Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Organism (ID)	Proteomes	Taxonomic lineage (Ids)	AlphaFoldDB
A2VEC9	reviewed	SSPO_HUMAN	SCO-spondin (SCO-spondin pseudogene)	SSPOP KIAA2036 SSPO	Homo sapiens (Human)	5150	9606	UP000005640: Unplaced	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	
A4D1T9	reviewed	PRS37_HUMAN	Probable inactive serine protease 37 (Probable inactive trypsin-X2)	PRSS37 TRYX2	Homo sapiens (Human)	235	9606	UP000005640: Chromosome 7	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	A4D1T9;
A6NFA1	reviewed	TIKI2_HUMAN	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)	TRABD2B HKAT TIKI2	Homo sapiens (Human)	517	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	A6NFA1;
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454	9606	UP000005640: Chromosome 12	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	A8K2U0;
E9PG40	unreviewed	E9PG40_HUMAN	Amyloid-beta A4 protein	APP	Homo sapiens (Human)	714	9606	UP000005640: Chromosome 21	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	E9PG40;
F5H094	reviewed	SO1BT_HUMAN	SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specific transporter-3 transmembrane 12) (LST-3TM12) (Organic anion transporting polypeptide 1B3-1B7) (OATP1B3-1B7) (Solute carrier organic anion transporter family member 1B3-1B7) (SLCO1B3-SLCO1B7)	SLCO1B3-SLCO1B7	Homo sapiens (Human)	687	9606	UP000005640: Chromosome 12	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	F5H094;
K7EJE8	unreviewed	K7EJE8_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	LONP1	Homo sapiens (Human)	829	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	K7EJE8;
K7EKE6	unreviewed	K7EKE6_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	LONP1	Homo sapiens (Human)	845	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	K7EKE6;
O00187	reviewed	MASP2_HUMAN	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	686	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O00187;
O00468	reviewed	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O00468;
